SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY
MLS Listing,,Condo/Co-op,3121 CENTRAL Ave Unit 3D,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1516,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #213,Union City
MLS Listing,,Condo/Co-op,1209 SUMMIT Ave #409,JERSEY CITY
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #803,Union City
MLS Listing,,Condo/Co-op,200 PATERSON PLANK Rd #408,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #602,Union City
MLS Listing,,Multi-Family (2-4 Unit),619 38TH St,Union City
MLS Listing,,Single Family Residential,713 7TH St,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1811,Union City
MLS Listing,,Multi-Family (2-4 Unit),317 7TH St,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1818,Union City
MLS Listing,,Multi-Family (2-4 Unit),812 CENTRAL Ave,Union City
MLS Listing,,Condo/Co-op,1614 SUMMIT Ave #12,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1515,Union City
MLS Listing,,Condo/Co-op,500 CENTRAL Ave #1417,Union City
MLS Listing,,Condo/Co-op,616 10TH St #4,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #114,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #713,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1901,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1218,Union City
MLS Listing,,Condo/Co-op,204 48th St Unit 2R,Union City
MLS Listing,,Condo/Co-op,801 Palisade Ave #201,Union City
MLS Listing,,Condo/Co-op,2408 SUMMIT Ave #1,Union City
MLS Listing,,Condo/Co-op,500 CENTRAL Ave #1217,Union City
MLS Listing,,Condo/Co-op,3312 HUDSON Ave Unit 4C,Union City
MLS Listing,,Condo/Co-op,3312 HUDSON Ave Unit 12C,Union City
MLS Listing,,Single Family Residential,61 Perryville Rd,Union Township
MLS Listing,,Condo/Co-op,809 22ND St #908,Union City
MLS Listing,,Multi-Family (2-4 Unit),720 26th St,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1707,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1605,Union City
MLS Listing,,Condo/Co-op,500 CENTRAL Ave #1610,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #1102,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1006,Union City
MLS Listing,,Multi-Family (5+ Unit),1700-06 Kerrigan Ave,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #1714,Union City
MLS Listing,,Condo/Co-op,222-224 48TH St Unit 2B,Union City
MLS Listing,,Condo/Co-op,135 38TH St #304,Union City
MLS Listing,,Multi-Family (2-4 Unit),809 18TH St,Union City
MLS Listing,,Condo/Co-op,222-224 48TH St Unit 1A,Union City
MLS Listing,,Condo/Co-op,310 10TH St #3,Union City
