Projected travel expenditures in the U.S. 2018-2022,
Projected domestic and international travel expenditures in the United States from 2018 to 2022 (in billion U.S. dollars),
,Travel spending in billion U.S. dollars
2018,"1,086.8"
2019,"1,135.1"
2020,"1,181.2"
2021,"1,227.9"
2022,"1,272.2"
