host_id,host_kpi,host_name,host_since_year,host_since_anniversary,host_since_ann_cleaned,host_since_month,host_since_day,host_since_month_cleaned,host_since_day_cleaned,host_since_date,host_account_age,id,neighborhood,neighborhood_cleaned,city,neighborhood_kpi,city_cleaned,state,state_cleaned,zipcode,country,latitude,longitude,location,property_type,room_type,accommodates,bathrooms,bedrooms,bedrooms_kpi,beds,bed_type,price,guests_included,extra_people,minimum_nights,host_response_time,host_response_rate,number_of_reviews,number_of_reviews_kpi,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,apx_number_of_stays,est_daily_revenue_include0,est_daily_revenue_include1,est_daily_revenue_include>1,est_daily_revenue,est_revenue_per_booking,est_total_revenue,est_yearly_revenue
1755733,Low,Ivan,2012,POINT(15.0 2.0),15.0 2.0,2.0,15.0,2,15,2/15/2012,7.03,346488,De Baarsjes - Oud-West,The Baarsjes - Old West,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1053,Netherlands,52.36522215,4.873662659,POINT(4.873662659 52.36522215),Apartment,Entire home/apt,2,1,1,1,2,Real Bed,85,2,35,3,within an hour,1,56,Medium,99,10,10,10,10,10,10,112,,,85,85,255,28560,4063.71
1759884,Low,Ivan,2012,POINT(16.0 2.0),16.0 2.0,2.0,16.0,2,16,2/16/2012,7.03,588020,Centrum-Oost,Center-East,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1018,Netherlands,52.3708958,4.913083466,POINT(4.913083466 52.3708958),Apartment,Private room,6,1,1,1,6,Real Bed,250,1,0,3,within a few hours,0.9,2,Low,80,8,8,8,10,8,8,4,,250,,250,750,3000,427.03
187417,Low,Bo And Cynthia,2010,POINT(1.0 8.0),1.0 8.0,8.0,1.0,8,1,8/1/2010,8.57,42908,De Pijp - Rivierenbuurt,Pipe - Rivierenbuurt,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1078 GK,Netherlands,52.34733353,4.88943128,POINT(4.88943128 52.34733353),Apartment,Entire home/apt,2,1,1,1,2,Real Bed,125,2,0,2,within a day,0.94,8,Low,100,10,9,10,10,8,10,16,,,125,125,250,4000,466.71
1759884,Low,Ivan,2012,POINT(16.0 2.0),16.0 2.0,2.0,16.0,2,16,2/16/2012,7.03,347183,Centrum-West,Center-West,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1015,Netherlands,52.37746048,4.879542891,POINT(4.879542891 52.37746048),Boat,Entire home/apt,5,1,2,2,4,Real Bed,210,4,35,3,within a few hours,0.9,38,Low,84,8,9,9,8,9,8,76,,,210,210,630,47880,6815.34
1759884,Low,Ivan,2012,POINT(16.0 2.0),16.0 2.0,2.0,16.0,2,16,2/16/2012,7.03,588288,Centrum-West,Center-West,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1013,Netherlands,52.38019422,4.894517289,POINT(4.894517289 52.38019422),Apartment,Entire home/apt,4,1,2,2,1,Real Bed,250,5,0,4,within a few hours,0.9,1,Low,94,10,6,10,10,10,10,2,,,250,250,1000,2000,284.68
1759884,Low,Ivan,2012,POINT(16.0 2.0),16.0 2.0,2.0,16.0,2,16,2/16/2012,7.03,3235970,Centrum-Oost,Center-East,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1018,Netherlands,52.36941679,4.913372201,POINT(4.913372201 52.36941679),Apartment,Private room,4,1,1,1,4,Real Bed,180,1,0,3,within a few hours,0.9,1,Low,95,10,10,10,10,9,9,2,,180,,180,540,1080,153.73
1759884,Low,Ivan,2012,POINT(16.0 2.0),16.0 2.0,2.0,16.0,2,16,2/16/2012,7.03,357948,IJburg - Zeeburgereiland,IJburg - Zeeburgereiland,Amsterdam,Low,Amsterdam,North Holland,North Holland,unknown,Netherlands,52.36076286,4.982916472,POINT(4.982916472 52.36076286),Apartment,Entire home/apt,2,1,1,1,1,Real Bed,75,1,0,7,within a few hours,0.9,7,Low,100,10,8,9,9,9,9,14,,75,,75,525,7350,1046.21
1759884,Low,Ivan,2012,POINT(16.0 2.0),16.0 2.0,2.0,16.0,2,16,2/16/2012,7.03,5625228,Centrum-Oost,Center-East,Amsterdam,Top 5,Amsterdam,Noord-Holland,North Holland,1018 AC,Netherlands,52.36985963,4.913280237,POINT(4.913280237 52.36985963),Apartment,Entire home/apt,2,1,0,0,1,Real Bed,129,1,0,3,within a few hours,0.9,0,Low,95,10,10,10,10,9,9,0,,129,,129,387,0,0.00
1764099,Low,Nadine,2012,POINT(17.0 2.0),17.0 2.0,2.0,17.0,2,17,2/17/2012,7.02,5725685,Oud-Oost,Former East,Amsterdam,Low,Amsterdam,North Holland,North Holland,1091,Netherlands,52.35120973,4.913330191,POINT(4.913330191 52.35120973),Apartment,Entire home/apt,2,1,1,1,1,Real Bed,95,2,20,2,within an hour,1,0,Low,95,10,10,10,10,9,9,0,,,95,95,190,0,0.00
1769083,Low,Sven,2012,POINT(18.0 2.0),18.0 2.0,2.0,18.0,2,18,2/18/2012,7.02,4053195,De Baarsjes - Oud-West,The Baarsjes - Old West,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1053DH,Netherlands,52.36770193,4.8721766,POINT(4.8721766 52.36770193),Apartment,Entire home/apt,2,1,1,1,1,Real Bed,130,0,0,2,within a day,0.9,5,Low,100,10,10,10,10,10,10,10,130,,,130,260,2600,370.38
